count layer hidden,count neuron,epoc,count data,percentage validation,percentage error training,percentage error validation
1,5,5,500,20.0,0.006420665477164916,0.007653399774669598
1,5,6,500,20.0,0.006259556143788729,0.0075766195686170585
1,5,7,500,20.0,0.006106712835356313,0.00749704559342423
1,5,8,500,20.0,0.005961358124182196,0.007416091280242694
1,5,9,500,20.0,0.005822865927851916,0.007334726016147576
1,5,10,500,20.0,0.005690706782155401,0.007253613041587953
1,5,11,500,20.0,0.0055644194431830555,0.007173204278996405
1,5,12,500,20.0,0.005443594863111616,0.0070938052910610675
1,5,13,500,20.0,0.005327866249664009,0.007015619807818694
1,5,14,500,20.0,0.005216902297561455,0.006938780352775366
1,5,15,500,20.0,0.005110402200551321,0.00686336941472374
1,5,16,500,20.0,0.005008091751428495,0.0067894341729175705
1,5,17,500,20.0,0.0049097201664631,0.006716996806940069
1,5,18,500,20.0,0.004815057430117937,0.006646061765527145
1,5,19,500,20.0,0.004723892036215719,0.006576620927494326
1,5,20,500,20.0,0.00463602904417754,0.006508657291528508
1,5,21,500,20.0,0.004551288392860587,0.006442147631870427
1,5,22,500,20.0,0.004469503428992172,0.006377064421731243
1,5,23,500,20.0,0.004390519616638657,0.006313377234315318
1,5,24,500,20.0,0.004314193400745992,0.006251053768386912
1,5,25,500,20.0,0.004240391202664326,0.006190060601990103
1,5,26,500,20.0,0.004168988529325795,0.006130363747903652
1,5,27,500,20.0,0.004099869180722942,0.006071929063471868
1,5,28,500,20.0,0.004032924542743503,0.006014722552744174
1,5,29,500,20.0,0.003968052954389767,0.005958710588459144
1,5,0,500,30.0,0.0025048146642265294,0.007200852455587616
1,5,1,500,30.0,0.0024661595894698908,0.007169328431191307
1,5,2,500,30.0,0.0024300453485400753,0.0071406740714431306
1,5,3,500,30.0,0.0023960419151613957,0.007114283991853514
1,5,4,500,30.0,0.002363825498422957,0.007089710071628045
1,5,5,500,30.0,0.0023331480319704525,0.007066616863337174
1,5,6,500,30.0,0.0023038161996648166,0.0070447504043861745
1,5,7,500,30.0,0.0022756768162117496,0.007023916181764876
1,5,8,500,30.0,0.0022486065072268723,0.007003963423875029
1,5,9,500,30.0,0.0022225043374500676,0.006984773811718962
1,5,10,500,30.0,0.00219728648519897,0.006966253305388754
1,5,11,500,30.0,0.0021728823529410268,0.006948326184610767
1,5,12,500,30.0,0.002149231696256327,0.006930930674463528
1,5,13,500,30.0,0.0021262824820520248,0.006914015713679618
1,5,14,500,30.0,0.002103989273882282,0.00689753855166167
1,5,15,500,30.0,0.0020823120017282224,0.006881462950084336
